Date,Close,High,Low,Open,Volume,Market_Label,GDP Growth,CPI,Interest Rate,M2 Money Supply,PPI,Unemployment Rate
2016-01-19,161.259765625,163.01762490368046,159.66483174016787,162.88900647920818,195244400,-1,18435.137,0.6387247515364791,2.06,12464.1,-6.852791878172592,5.0
2016-01-20,159.19325256347656,160.77961668178162,155.22307679285728,158.66161215128466,286547800,-1,18435.137,0.6387247515364791,2.01,12464.1,-6.852791878172592,5.0
2016-01-21,160.0850067138672,161.95433092820562,158.32714743906698,159.67341467218924,195772900,-1,18435.137,0.6387247515364791,2.02,12464.1,-6.852791878172592,5.0
2016-01-22,163.3692169189453,163.57500642019878,161.96293196184834,162.7346687601019,168319600,1,18435.137,0.6387247515364791,2.07,12464.1,-6.852791878172592,5.0
2016-01-25,160.89962768554688,163.0519256121954,160.7024083983444,162.85470632499292,130371700,-1,18435.137,0.6387247515364791,2.03,12514.0,-6.852791878172592,5.0
2016-01-26,163.09483337402344,163.37780705705475,161.22550872671607,161.5684999935114,141036800,1,18435.137,0.6387247515364791,2.01,12514.0,-6.852791878172592,5.0
2016-01-27,161.31983947753906,164.26102830178235,160.40231752302532,162.56319922272726,185681700,-1,18435.137,0.6387247515364791,2.02,12514.0,-6.852791878172592,5.0
2016-01-28,162.16017150878906,163.09483383508498,160.48806618094815,162.8890443081373,143798800,-1,18435.137,0.6387247515364791,2.0,12514.0,-6.852791878172592,5.0
2016-01-29,166.11322021484375,166.25042196681397,162.8204566732335,162.94050493513765,210529300,1,18435.137,0.6387247515364791,1.94,12514.0,-6.852791878172592,5.0
2016-02-01,166.05316162109375,166.85063522158688,164.5011046802006,165.09277568734262,136061600,1,18435.137,0.8472775790126619,1.97,12539.8,-5.128205128205121,4.9
2016-02-02,163.060546875,164.61260401668545,162.52889337779794,164.6040338141243,182564900,1,18435.137,0.8472775790126619,1.87,12539.8,-5.128205128205121,4.9
2016-02-03,164.03807067871094,164.44966279488165,160.43661022259317,164.13239523494562,205054900,1,18435.137,0.8472775790126619,1.88,12539.8,-5.128205128205121,4.9
2016-02-04,164.29531860351562,165.28142824650237,162.88903356359612,163.53215196144242,139531800,1,18435.137,0.8472775790126619,1.87,12539.8,-5.128205128205121,4.9
2016-02-05,161.1654815673828,164.3553501382824,160.52236311493175,163.7722623551804,180788300,-1,18435.137,0.8472775790126619,1.86,12539.8,-5.128205128205121,4.9
2016-02-08,158.99600219726562,159.59624336553156,156.74937964563765,159.29612932353666,191526700,-1,18435.137,0.8472775790126619,1.75,12511.9,-5.128205128205121,4.9
2016-02-09,159.0045928955078,160.29941302997898,157.09239111143052,157.2295928487998,184513100,-1,18435.137,0.8472775790126619,1.74,12511.9,-5.128205128205121,4.9
2016-02-10,158.86741638183594,161.49990786183992,158.73878483661903,159.84495593780193,148214100,-1,18435.137,0.8472775790126619,1.71,12511.9,-5.128205128205121,4.9
2016-02-11,156.80081176757812,157.864105365278,155.2830489663773,156.35491276412014,219058900,-1,18435.137,0.8472775790126619,1.63,12511.9,-5.128205128205121,4.9
2016-02-12,160.03359985351562,160.05074025822944,157.7440997334952,158.60159100320826,127632400,-1,18435.137,0.8472775790126619,1.74,12511.9,-5.128205128205121,4.9
2016-02-16,162.73468017578125,162.76040386524244,160.8910793149173,161.8686187672743,120250700,1,18435.137,0.8472775790126619,1.78,12511.9,-5.128205128205121,4.9
2016-02-17,165.3928985595703,165.7701967621584,163.78938119857094,163.91801272269507,136009500,1,18435.137,0.8472775790126619,1.81,12511.9,-5.128205128205121,4.9
2016-02-18,164.71548461914062,165.72733105832367,164.39821705603936,165.66730039272204,102343000,1,18435.137,0.8472775790126619,1.75,12511.9,-5.128205128205121,4.9
2016-02-19,164.63833618164062,164.7926783413568,163.30922199665173,163.92661680407522,114793000,1,18435.137,0.8472775790126619,1.76,12511.9,-5.128205128205121,4.9
2016-02-22,167.02210998535156,167.1678818975029,166.17318911359044,166.24178996947498,103640300,1,18435.137,0.8472775790126619,1.77,12580.9,-5.128205128205121,4.9
2016-02-23,164.9127197265625,166.62770218752453,164.79265839338848,166.35329871331726,111455300,1,18435.137,0.8472775790126619,1.74,12580.9,-5.128205128205121,4.9
2016-02-24,165.66725158691406,165.95022517507684,162.34019554472422,163.46350661380222,150812200,1,18435.137,0.8472775790126619,1.75,12580.9,-5.128205128205121,4.9
2016-02-25,167.67381286621094,167.68239615160456,165.35001918865422,166.1217559860419,110728300,1,18435.137,0.8472775790126619,1.71,12580.9,-5.128205128205121,4.9
2016-02-26,167.28794860839844,168.65135642352757,167.125023193205,168.55704495607537,129833700,1,18435.137,0.8472775790126619,1.76,12580.9,-5.128205128205121,4.9
2016-02-29,165.9759979248047,168.26549790485066,165.77877860842614,167.3051119284568,125918100,1,18435.137,0.8472775790126619,1.74,12577.6,-5.128205128205121,4.9
2016-03-01,169.8776092529297,169.9633636203195,166.73918782008647,167.2193808751988,141799700,1,18435.137,0.8916160965521946,1.83,12577.6,-4.908616187989557,5.0
2016-03-02,170.64076232910156,170.69220971169614,169.14015261012705,169.56032804178014,102415000,1,18435.137,0.8916160965521946,1.84,12577.6,-4.908616187989557,5.0
2016-03-03,171.30958557128906,171.32673905835424,169.87757688185624,170.4606645993023,95172200,1,18435.137,0.8916160965521946,1.83,12577.6,-4.908616187989557,5.0
2016-03-04,171.8669891357422,172.65589271089195,170.6665064505664,171.50684433018947,129293600,1,18435.137,0.8916160965521946,1.88,12577.6,-4.908616187989557,5.0
2016-03-07,172.004150390625,172.4157555722835,170.85511536478464,170.93228642974177,100219000,1,18435.137,0.8916160965521946,1.91,12582.9,-4.908616187989557,5.0
2016-03-08,170.12623596191406,171.42962615080052,169.96332363704508,170.91513932033115,123974900,1,18435.137,0.8916160965521946,1.83,12582.9,-4.908616187989557,5.0
2016-03-09,170.9666290283203,171.3181905366951,170.1520017808822,170.94947553777436,94801200,1,18435.137,0.8916160965521946,1.9,12582.9,-4.908616187989557,5.0
2016-03-10,171.10377502441406,172.41574849622558,169.2516041200726,171.46393281465336,156838700,1,18435.137,0.8916160965521946,1.93,12582.9,-4.908616187989557,5.0
2016-03-11,173.8649139404297,173.9077911180099,171.0866507794073,172.57867711868894,137964500,1,18435.137,0.8916160965521946,1.98,12582.9,-4.908616187989557,5.0
2016-03-14,173.64198303222656,174.10502256322997,173.01601806563428,173.3504391392141,73612000,1,18435.137,0.8916160965521946,1.97,12588.7,-4.908616187989557,5.0
2016-03-15,173.35899353027344,173.66769088421356,172.3986075776941,172.6644277549775,93169100,1,18435.137,0.8916160965521946,1.97,12588.7,-4.908616187989557,5.0
2016-03-16,174.3622589111328,174.77386411121972,172.827355407509,172.87023258471942,129303200,1,18435.137,0.8916160965521946,1.94,12588.7,-4.908616187989557,5.0
2016-03-17,175.46844482421875,175.98293174168344,173.873510519949,174.2765324683162,134278500,1,18435.137,0.8916160965521946,1.91,12588.7,-4.908616187989557,5.0
2016-03-18,176.157958984375,176.50271926780536,175.65804736716774,175.9769512869289,138372400,1,18435.137,0.8916160965521946,1.88,12588.7,-4.908616187989557,5.0
2016-03-21,176.40786743164062,176.64058780262022,175.65800675507825,175.8907271260578,72926700,1,18435.137,0.8916160965521946,1.92,12624.2,-4.908616187989557,5.0
2016-03-22,176.3130645751953,176.89054517666375,175.45977842831718,175.62353098403202,97471900,1,18435.137,0.8916160965521946,1.94,12624.2,-4.908616187989557,5.0
2016-03-23,175.14952087402344,176.1148601864366,174.97712758101102,175.92523808553233,81052500,1,18435.137,0.8916160965521946,1.88,12624.2,-4.908616187989557,5.0
2016-03-24,175.07196044921875,175.10644437282338,173.8825281201269,174.10662101650342,84360900,1,18435.137,0.8916160965521946,1.91,12624.2,-4.908616187989557,5.0
2016-03-28,175.17535400390625,175.7097363164361,174.7185407718869,175.49425788051147,62408200,1,18435.137,0.8916160965521946,1.89,12663.8,-4.908616187989557,5.0
2016-03-29,176.79576110839844,176.90781411518364,174.45135443192964,174.76164393769056,92922900,1,18435.137,0.8916160965521946,1.81,12663.8,-4.908616187989557,5.0
2016-03-30,177.57147216796875,178.30409095496665,177.20084242133225,177.81280696271628,86365300,1,18435.137,0.8916160965521946,1.83,12663.8,-4.908616187989557,5.0
2016-03-31,177.1405487060547,177.9076515522641,176.97678296049946,177.47669460154506,94584100,1,18435.137,0.8916160965521946,1.78,12663.8,-4.908616187989557,5.0
2016-04-01,178.34722900390625,178.5368511208456,175.81319994277408,176.13211704040634,114423500,1,18711.702,1.1726257503534845,1.79,12663.8,-4.033525405971716,5.1
2016-04-04,177.7697296142578,178.4765052763576,177.4594401055879,178.2696412199905,63497000,1,18711.702,1.1726257503534845,1.78,12664.8,-4.033525405971716,5.1
2016-04-05,175.9941864013672,177.77834118395566,175.73560962297083,176.4079013557446,99662200,1,18711.702,1.1726257503534845,1.73,12664.8,-4.033525405971716,5.1
2016-04-06,177.91629028320312,177.9766305774001,175.8132179718583,175.994225702685,91839800,1,18711.702,1.1726257503534845,1.76,12664.8,-4.033525405971716,5.1
2016-04-07,175.78732299804688,177.17500479041655,175.0460765781769,176.8130025600281,113859000,1,18711.702,1.1726257503534845,1.7,12664.8,-4.033525405971716,5.1
2016-04-08,176.2613525390625,177.4249413006354,175.71834269676057,176.98535689429215,95040600,1,18711.702,1.1726257503534845,1.72,12664.8,-4.033525405971716,5.1
2016-04-11,175.84767150878906,177.6145975733337,175.75286045698144,176.90782188681106,83757500,1,18711.702,1.1726257503534845,1.73,12677.7,-4.033525405971716,5.1
2016-04-12,177.4853057861328,177.76973894665892,175.57185590751143,176.02005481062187,115350600,1,18711.702,1.1726257503534845,1.79,12677.7,-4.033525405971716,5.1
2016-04-13,179.27804565429688,179.36424228310352,178.2782226278796,178.4161319732666,96336400,1,18711.702,1.1726257503534845,1.77,12677.7,-4.033525405971716,5.1
2016-04-14,179.28672790527344,179.79526716486845,178.9333531576577,179.33845379318788,65212900,1,18711.702,1.1726257503534845,1.8,12677.7,-4.033525405971716,5.1
2016-04-15,179.08839416503906,179.42453991933598,178.76086281150367,179.28663059660985,75761600,1,18711.702,1.1726257503534845,1.76,12677.7,-4.033525405971716,5.1
2016-04-18,180.3468475341797,180.3813182992688,178.41615589517292,179.08844760437617,82531000,1,18711.702,1.1726257503534845,1.78,12698.8,-4.033525405971716,5.1
2016-04-19,180.9157257080078,181.1743025131608,180.08829571363347,180.7778294767872,88316100,1,18711.702,1.1726257503534845,1.79,12698.8,-4.033525405971716,5.1
2016-04-20,181.0880584716797,181.7948208076012,180.4760940091336,180.95876353644744,81100300,1,18711.702,1.1726257503534845,1.85,12698.8,-4.033525405971716,5.1
2016-04-21,180.1141357421875,181.2173844024611,179.83831700123838,181.1053313949804,85695000,1,18711.702,1.1726257503534845,1.88,12698.8,-4.033525405971716,5.1
2016-04-22,180.1141357421875,180.3899413313752,179.20050917837608,179.75213350851288,99251700,1,18711.702,1.1726257503534845,1.89,12698.8,-4.033525405971716,5.1
2016-04-25,179.8038330078125,179.8469313268856,178.88157895633816,179.50215792606133,66166500,1,18711.702,1.1726257503534845,1.91,12737.9,-4.033525405971716,5.1
2016-04-26,180.07101440429688,180.58816790159617,179.58834482108944,180.1744398430528,75864200,1,18711.702,1.1726257503534845,1.94,12737.9,-4.033525405971716,5.1
2016-04-27,180.4416656494141,180.8381386463996,179.32117503957616,179.6831772701217,77329400,1,18711.702,1.1726257503534845,1.87,12737.9,-4.033525405971716,5.1
2016-04-28,178.80401611328125,180.7950348973957,178.381686766203,179.67455747295378,97216200,1,18711.702,1.1726257503534845,1.84,12737.9,-4.033525405971716,5.1
2016-04-29,177.83868408203125,178.5282177839827,176.71819346033033,178.1748299533654,142424100,1,18711.702,1.1726257503534845,1.83,12737.9,-4.033525405971716,5.1
2016-05-02,179.252197265625,179.4331917817034,177.90761396771856,178.34718522995425,62188000,1,18711.702,1.1726257503534845,1.88,12762.8,-4.033525405971716,5.1
2016-05-03,177.69216918945312,178.2437935482349,176.9336807642174,178.00245871325302,106422100,1,18711.702,1.1726257503534845,1.81,12762.8,-4.033525405971716,5.1
2016-05-04,176.70094299316406,177.42496057882155,176.1924170087672,176.6837141864719,92243800,1,18711.702,1.1726257503534845,1.79,12762.8,-4.033525405971716,5.1
2016-05-05,176.66650390625,177.53703226369043,176.23554692997516,177.17502998183116,67619200,1,18711.702,1.1726257503534845,1.76,12762.8,-4.033525405971716,5.1
2016-05-06,177.3129119873047,177.35601030862892,175.72699371595806,175.88213189061187,89315000,1,18711.702,1.1726257503534845,1.79,12762.8,-4.033525405971716,5.1
2016-05-09,177.45947265625,177.89904406092717,177.0026592891059,177.1836670155988,74374900,1,18711.702,1.1726257503534845,1.77,12766.9,-4.033525405971716,5.1
2016-05-10,179.66595458984375,179.68319655079452,178.10589249374894,178.17484718578928,77472200,1,18711.702,1.1726257503534845,1.77,12766.9,-4.033525405971716,5.1
2016-05-11,177.9852294921875,179.74352815172682,177.9852294921875,179.20053131003428,81727000,1,18711.702,1.1726257503534845,1.73,12766.9,-4.033525405971716,5.1
2016-05-12,178.0369415283203,178.83852833227542,177.0112618343655,178.66613502268473,89586300,1,18711.702,1.1726257503534845,1.75,12766.9,-4.033525405971716,5.1
2016-05-13,176.48545837402344,178.29548254725046,176.15794008543065,177.7352438588404,96474600,1,18711.702,1.1726257503534845,1.71,12766.9,-4.033525405971716,5.1
2016-05-16,178.22653198242188,178.70920159928994,176.59751544961173,176.65785572760058,77486800,1,18711.702,1.1726257503534845,1.75,12776.6,-4.033525405971716,5.1
2016-05-17,176.56307983398438,178.24380942436832,176.028684235987,177.9507618346118,114924900,1,18711.702,1.1726257503534845,1.76,12776.6,-4.033525405971716,5.1
2016-05-18,176.61474609375,177.81280565592755,175.51149756822363,176.20964558730955,120062100,1,18711.702,1.1726257503534845,1.87,12776.6,-4.033525405971716,5.1
2016-05-19,176.00282287597656,176.29587045741906,174.77890666663183,175.88215545116125,115430500,1,18711.702,1.1726257503534845,1.85,12776.6,-4.033525405971716,5.1
2016-05-20,177.11463928222656,177.64040713066797,176.57162947842815,176.6233421927407,104990400,1,18711.702,1.1726257503534845,1.85,12776.6,-4.033525405971716,5.1
2016-05-23,176.87338256835938,177.41637946002345,176.6837604310277,177.13194625402593,58682600,1,18711.702,1.1726257503534845,1.84,12796.0,-4.033525405971716,5.1
2016-05-24,179.166015625,179.48493267104246,177.67490844824414,177.70076480984747,93537800,1,18711.702,1.1726257503534845,1.86,12796.0,-4.033525405971716,5.1
