Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2015-07-14,178.65859985351562,178.9723721052784,177.78515127672932,177.84451814097477,81709600
2015-07-15,178.59921264648438,179.1673772402902,178.1158412063193,178.70096960669048,97914100
2015-07-16,180.03237915039062,180.03237915039062,179.42181141185523,179.66772841840094,106683300
2015-07-17,180.18504333496094,180.24441020714542,179.60840312309736,180.02391946999984,89030000
2015-07-20,180.2783203125,180.77864276707305,179.95608553035981,180.41400492582056,70446800
2015-07-21,179.56597900390625,180.4055129146465,179.26069512178213,180.14261914814307,77965000
2015-07-22,179.24374389648438,179.58295542243596,178.8367030049391,178.87061768773594,88667900
2015-07-23,178.234619140625,179.4811940613523,177.8699812898694,179.37943706850837,90509100
2015-07-24,176.38595581054688,178.39573395483268,176.0467572252114,178.33638002521744,117755000
2015-07-27,175.35986328125,176.00435872551458,174.91041932122178,175.48707245874286,132361100
2015-07-28,177.5138397216797,177.65799979167048,175.36837660661882,176.20789777536513,123544800
2015-07-29,178.73495483398438,178.9639080682498,177.49685534747948,177.6410154007716,105791300
2015-07-30,178.77732849121094,178.94692776486121,177.5901076964687,178.21763924252937,91304400
2015-07-31,178.50596618652344,179.31157247213017,178.21764611623817,179.28613322708122,103266900
2015-08-03,177.90386962890625,178.5314011842411,176.9371395212579,178.47204726040414,113965700
2015-08-04,177.55621337890625,178.29397742066567,177.0643663712011,177.82756965994554,81820800
2015-08-05,178.141357421875,179.1928808942406,177.85302436498975,178.46359222489136,85786800
2015-08-06,176.68276977539062,178.43814256549985,176.08915282318657,178.32789719901675,116030800
2015-08-07,176.34361267089844,176.67433593283323,175.4277606517865,176.5217003994484,117858000
2015-08-10,178.56533813476562,178.6501313074775,177.47139880813572,177.47139880813572,80270700
2015-08-11,176.95411682128906,177.63252691723167,176.18242517540938,177.2085222247171,126081400
2015-08-12,177.16612243652344,177.35268553983994,174.14721104045157,175.63122749163495,172123700
2015-08-13,176.94561767578125,177.70034540974328,176.39440388561465,177.00497159619005,89383300
2015-08-14,177.5901336669922,177.66645141035613,176.60643962053337,176.75059967119762,72786500
2015-08-17,178.58229064941406,178.58229064941406,176.5216340852436,176.98804182803818,79072600
2015-08-18,178.0650634765625,178.65866764628484,177.82762180867357,178.30250514445143,71692700
2015-08-19,176.65731811523438,178.0904430808342,175.83474799141894,177.31027601342495,172946000
2015-08-20,172.968505859375,176.63190032135378,172.90913898092788,175.1224443844812,194327900
2015-08-21,167.76170349121094,172.94304151495658,167.49882264388518,171.06893502143294,346588500
2015-08-24,160.69778442382812,167.46489594428797,154.67691239094887,158.99329015494897,507244300
2015-08-25,158.80673217773438,165.7434432176329,158.5099236965389,165.72647940566813,369833100
2015-08-26,164.90390014648438,165.18373183878006,159.73951348826782,162.88563379868492,339257000
2015-08-27,168.98280334472656,169.1099995537349,165.53988793189876,167.0747825720378,274143900
2015-08-28,168.99130249023438,169.46618565662237,167.8380092548939,168.32985623139456,160414400
2015-08-31,167.6259765625,168.86407568460663,167.0662873864959,167.99910267983606,163298800
2015-09-01,162.62274169921875,165.16676951497928,161.7408048102488,163.76754645255423,256000400
2015-09-02,165.7095489501953,165.751952015533,163.17399574234847,165.0396141608169,160269300
2015-09-03,165.8282928466797,167.94831701260605,165.3279702490252,166.43037246362644,152087800
2015-09-04,163.31814575195312,164.39512143511104,162.48710006884446,163.53863650228666,207081000
2015-09-08,167.4225311279297,167.57517958635498,165.5060340671662,166.15900509009705,116025700
2015-09-09,165.18373107910156,169.15242145723894,164.8106178445581,169.02522523405318,149347700
2015-09-10,166.08262634277344,167.24439494143775,164.7258062888803,164.9886871011683,158611100
2015-09-11,166.83740234375,166.90524466002142,164.9632955580985,165.6841088463334,119691200
2015-09-14,166.2183074951172,167.06631684236157,165.72646052096394,167.01543835186223,79452000
2015-09-15,168.29592895507812,168.74537284245756,166.1759057355168,166.7271065967648,113806200
2015-09-16,169.75454711914062,169.94959863400302,168.25357951790605,168.6012665422097,99581600
2015-09-17,169.3729248046875,172.05263778768432,168.99132313790062,169.6188547927839,276046600
2015-09-18,166.6051025390625,169.35840915348973,166.18742602580676,166.82673955282303,223657500
2015-09-21,167.466064453125,168.50600256138011,166.40054183573403,167.44901244932373,105726200
2015-09-22,165.29237365722656,165.76120614769562,164.14160418124493,165.26680215837064,153890900
2015-09-23,165.0281524658203,165.9402330863991,164.4399818846619,165.46288102252217,92790600
2015-09-24,164.43141174316406,164.9002442010444,162.43675692985357,163.79209830247234,159378800
2015-09-25,164.38882446289062,166.22151804888796,163.50230241611766,165.9146470337538,155054800
2015-09-28,160.2631072998047,163.58754538279757,159.94771679451924,163.47672687797112,178515900
2015-09-29,160.3568572998047,161.73778319512405,159.34247787903058,160.48472779379904,159045600
2015-09-30,163.34890747070312,163.51938851313076,161.48210948997644,162.27485219035637,163452000
2015-10-01,163.7751007080078,164.08197175738522,161.80601689403147,163.7324771998143,131079000
2015-10-02,166.2215118408203,166.24708334055418,161.2092897831152,161.76336929337123,211003300
2015-10-05,169.17935180664062,169.40950824095822,167.355178342739,167.465996812385,126320800
2015-10-06,168.59983825683594,169.6142182859413,167.9264334093354,169.0430994894856,110274500
2015-10-07,169.98065185546875,170.33866580273488,168.33547859043847,169.54591041410913,124307300
2015-10-08,171.51504516601562,171.80486418745483,169.28170098343685,169.58857200815706,153055200
2015-10-09,171.61737060546875,172.1032422522445,170.97805690764187,171.65999412003129,107069200
2015-10-12,171.77926635742188,171.98383833796902,171.2592908954221,171.69401936095025,56395600
2015-10-13,170.6967315673828,172.32485332720205,170.52625054172293,171.0376936187026,88038700
2015-10-14,169.87841796875,171.22524029044044,169.5800794017938,170.63706964921624,99106200
2015-10-15,172.48683166503906,172.4953511647484,170.17677257056684,170.5518386676947,134142200
2015-10-16,173.27105712890625,173.28809612854758,172.12028731648923,172.89599102687788,114580100
